field_1,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,rooms_per_household,bedrooms_per_room,population_per_household,county_name,field_16
"20",-122.27,37.84,"52","1503","298","690","275",2.6033,162900,NEAR BAY,5.46545454545455,0.198270126413839,2.50909090909091,Alameda,
"21",-122.27,37.85,"40","751","184","409","166",1.3578,147500,NEAR BAY,4.52409638554217,0.245006657789614,2.46385542168675,Alameda,
"22",-122.27,37.85,"42","1639","367","929","366",1.7135,159800,NEAR BAY,4.47814207650273,0.223917022574741,2.53825136612022,Alameda,
"23",-122.27,37.84,"52","2436","541","1015","478",1.725,113900,NEAR BAY,5.09623430962343,0.222085385878489,2.1234309623431,Alameda,
"24",-122.27,37.84,"52","1688","337","853","325",2.1806,99700,NEAR BAY,5.19384615384615,0.199644549763033,2.62461538461538,Alameda,
"25",-122.27,37.84,"52","2224","437","1006","422",2.6,132600,NEAR BAY,5.27014218009479,0.196492805755396,2.38388625592417,Alameda,
"33",-122.27,37.84,"48","1922","409","1026","335",1.7969,110400,NEAR BAY,5.73731343283582,0.212799167533819,3.06268656716418,Alameda,
"39",-122.26,37.83,"52","1470","330","689","309",3.48,191400,NEAR BAY,4.75728155339806,0.224489795918367,2.22977346278317,Alameda,
"40",-122.26,37.83,"52","2432","715","1377","696",2.5898,176000,NEAR BAY,3.49425287356322,0.293996710526316,1.97844827586207,Alameda,
"41",-122.26,37.83,"52","1665","419","946","395",2.0978,155400,NEAR BAY,4.21518987341772,0.251651651651652,2.39493670886076,Alameda,
"42",-122.26,37.83,"51","936","311","517","249",1.2852,150000,NEAR BAY,3.75903614457831,0.332264957264957,2.07630522088353,Alameda,
"43",-122.26,37.84,"49","713","202","462","189",1.025,118800,NEAR BAY,3.77248677248677,0.283309957924264,2.44444444444444,Alameda,
"44",-122.26,37.84,"52","950","202","467","198",3.9643,188800,NEAR BAY,4.7979797979798,0.212631578947368,2.35858585858586,Alameda,
"45",-122.26,37.83,"52","1443","311","660","292",3.0125,184400,NEAR BAY,4.94178082191781,0.215523215523216,2.26027397260274,Alameda,
"46",-122.26,37.83,"52","1656","420","718","382",2.6768,182300,NEAR BAY,4.33507853403141,0.253623188405797,1.87958115183246,Alameda,
"47",-122.26,37.83,"50","1125","322","616","304",2.026,142500,NEAR BAY,3.70065789473684,0.286222222222222,2.02631578947368,Alameda,
"48",-122.27,37.82,"43","1007","312","558","253",1.7348,137500,NEAR BAY,3.9802371541502,0.309831181727905,2.20553359683794,Alameda,
"49",-122.26,37.82,"40","624","195","423","160",0.9506,187500,NEAR BAY,3.9,0.3125,2.64375,Alameda,
"50",-122.27,37.82,"40","946","375","700","352",1.775,112500,NEAR BAY,2.6875,0.396405919661734,1.98863636363636,Alameda,
"51",-122.27,37.82,"21","896","453","735","438",0.9218,171900,NEAR BAY,2.04566210045662,0.505580357142857,1.67808219178082,Alameda,
"52",-122.27,37.82,"43","1868","456","1061","407",1.5045,93800,NEAR BAY,4.58968058968059,0.244111349036403,2.60687960687961,Alameda,
"53",-122.27,37.82,"41","3221","853","1959","720",1.1108,97500,NEAR BAY,4.47361111111111,0.264824588637069,2.72083333333333,Alameda,
"54",-122.27,37.82,"52","1630","456","1162","400",1.2475,104200,NEAR BAY,4.075,0.279754601226994,2.905,Alameda,
"82",-122.27,37.81,"52","210","56","183","56",1.1667,112500,NEAR BAY,3.75,0.266666666666667,3.26785714285714,Alameda,
"87",-122.27,37.81,"40","880","451","582","380",0.977,118800,NEAR BAY,2.31578947368421,0.5125,1.53157894736842,Alameda,
"88",-122.27,37.81,"10","875","348","546","330",0.76,162500,NEAR BAY,2.65151515151515,0.397714285714286,1.65454545454545,Alameda,
"89",-122.27,37.8,"10","105","42","125","39",0.9722,137500,NEAR BAY,2.69230769230769,0.4,3.20512820512821,Alameda,
"91",-122.27,37.8,"16","994","392","800","362",2.0938,162500,NEAR BAY,2.74585635359116,0.394366197183099,2.20994475138122,Alameda,
"94",-122.27,37.79,"27","1055","347","718","302",2.6354,187500,NEAR BAY,3.49337748344371,0.328909952606635,2.37748344370861,Alameda,
"95",-122.27,37.8,"39","1715","623","1327","467",1.8477,179200,NEAR BAY,3.67237687366167,0.363265306122449,2.84154175588865,Alameda,
"96",-122.26,37.8,"36","5329","2477","3469","2323",2.0096,130000,NEAR BAY,2.29401635815755,0.464815162319385,1.49332759362893,Alameda,
"97",-122.26,37.82,"31","4596","1331","2048","1180",2.8345,183800,NEAR BAY,3.89491525423729,0.289599651871192,1.73559322033898,Alameda,
"98",-122.26,37.81,"29","335","107","202","91",2.0062,125000,NEAR BAY,3.68131868131868,0.319402985074627,2.21978021978022,Alameda,
"99",-122.26,37.82,"22","3682","1270","2024","1250",1.2185,170000,NEAR BAY,2.9456,0.34492123845736,1.6192,Alameda,
"100",-122.26,37.82,"37","3633","1085","1838","980",2.6104,193100,NEAR BAY,3.70714285714286,0.298651252408478,1.87551020408163,Alameda,
"101",-122.25,37.81,"29","4656","1414","2304","1250",2.4912,257800,NEAR BAY,3.7248,0.303694158075601,1.8432,Alameda,
"102",-122.25,37.81,"28","5806","1603","2563","1497",3.2177,273400,NEAR BAY,3.87842351369405,0.276093696176369,1.71209084836339,Alameda,
"103",-122.25,37.81,"39","854","242","389","228",3.125,237500,NEAR BAY,3.74561403508772,0.283372365339578,1.70614035087719,Alameda,
"104",-122.25,37.81,"52","2155","701","895","613",2.5795,350000,NEAR BAY,3.51549755301794,0.325290023201856,1.46003262642741,Alameda,
"105",-122.26,37.81,"34","5871","1914","2689","1789",2.8406,335700,NEAR BAY,3.28172163219676,0.326009197751661,1.5030743432085,Alameda,
"106",-122.24,37.82,"52","1509","225","674","244",4.9306,313400,NEAR BAY,6.1844262295082,0.149105367793241,2.76229508196721,Alameda,
"107",-122.24,37.81,"52","2026","482","709","456",3.2727,268500,NEAR BAY,4.44298245614035,0.237907206317868,1.55482456140351,Alameda,
"108",-122.25,37.81,"52","1758","460","686","422",3.1691,259400,NEAR BAY,4.16587677725119,0.261660978384528,1.62559241706161,Alameda,
"109",-122.24,37.82,"52","3481","751","1444","718",3.9,275700,NEAR BAY,4.84818941504178,0.215742602700373,2.01114206128134,Alameda,
"110",-122.25,37.82,"28","3337","855","1520","802",3.9063,225000,NEAR BAY,4.16084788029925,0.256218160023974,1.89526184538653,Alameda,
"111",-122.25,37.82,"52","1424","289","550","253",5.0917,262500,NEAR BAY,5.62845849802372,0.202949438202247,2.17391304347826,Alameda,
"112",-122.25,37.82,"32","3809","1098","1806","1022",2.6429,218500,NEAR BAY,3.72700587084149,0.288264636387503,1.76712328767123,Alameda,
"113",-122.25,37.82,"26","3959","1196","1749","1217",3.0233,255000,NEAR BAY,3.25308134757601,0.302096489012377,1.43714050944947,Alameda,
"114",-122.25,37.83,"52","2376","559","939","519",3.1484,224100,NEAR BAY,4.57803468208092,0.23526936026936,1.80924855491329,Alameda,
"115",-122.25,37.83,"35","1613","428","675","422",3.4722,243100,NEAR BAY,3.82227488151659,0.265344079355239,1.59952606635071,Alameda,
"116",-122.25,37.83,"52","1279","287","534","291",3.1429,231600,NEAR BAY,4.39518900343643,0.224394057857701,1.83505154639175,Alameda,
"117",-122.25,37.83,"28","5022","1750","2558","1661",2.4234,218500,NEAR BAY,3.02347983142685,0.348466746316209,1.54003612281758,Alameda,
"118",-122.25,37.83,"52","4190","1105","1786","1037",3.0897,234100,NEAR BAY,4.04050144648023,0.263723150357995,1.72227579556413,Alameda,
"119",-122.23,37.84,"50","2515","399","970","373",5.8596,327600,NEAR BAY,6.7426273458445,0.158648111332008,2.60053619302949,Alameda,
"120",-122.23,37.84,"47","3175","454","1098","485",5.2868,347600,NEAR BAY,6.54639175257732,0.142992125984252,2.2639175257732,Alameda,
"121",-122.24,37.83,"41","2576","406","794","376",5.956,366100,NEAR BAY,6.85106382978723,0.157608695652174,2.11170212765957,Alameda,
"122",-122.24,37.85,"37","334","54","98","47",4.9643,335000,NEAR BAY,7.1063829787234,0.161676646706587,2.08510638297872,Alameda,
"123",-122.23,37.85,"52","2800","411","1061","403",6.3434,373600,NEAR BAY,6.94789081885856,0.146785714285714,2.63275434243176,Alameda,
"124",-122.24,37.84,"52","3529","574","1177","555",5.1773,389500,NEAR BAY,6.35855855855856,0.162652309436101,2.12072072072072,Alameda,
"125",-122.24,37.85,"52","2612","365","901","367",7.2354,391100,NEAR BAY,7.11716621253406,0.139739663093415,2.4550408719346,Alameda,
"126",-122.22,37.85,"28","5287","1048","2031","956",5.457,337300,NEAR BAY,5.53033472803347,0.19822205409495,2.1244769874477,Alameda,
"127",-122.22,37.84,"50","2935","473","1031","479",7.5,295200,NEAR BAY,6.12734864300626,0.161158432708688,2.15240083507307,Alameda,
"128",-122.21,37.84,"44","3424","597","1358","597",6.0194,292300,NEAR BAY,5.73534338358459,0.174357476635514,2.27470686767169,Alameda,
"129",-122.21,37.83,"40","4991","674","1616","654",7.5544,411500,NEAR BAY,7.63149847094801,0.135043077539571,2.47094801223242,Alameda,
"130",-122.2,37.84,"30","2211","346","844","343",6.0666,311500,NEAR BAY,6.44606413994169,0.156490275893261,2.46064139941691,Alameda,
"131",-122.21,37.84,"34","3038","490","1140","496",7.0548,325900,NEAR BAY,6.125,0.161290322580645,2.29838709677419,Alameda,
"132",-122.19,37.84,"18","1617","210","533","194",11.6017,392600,NEAR BAY,8.33505154639175,0.12987012987013,2.74742268041237,Contra Costa,
"133",-122.2,37.84,"35","2865","460","1072","443",7.4882,319300,NEAR BAY,6.46726862302483,0.160558464223386,2.41986455981941,Alameda,
"134",-122.21,37.83,"34","5065","788","1627","766",6.8976,333300,NEAR BAY,6.61227154046997,0.155577492596249,2.12402088772846,Alameda,
"135",-122.19,37.83,"28","1326","184","463","190",8.2049,335200,NEAR BAY,6.97894736842105,0.138763197586727,2.43684210526316,Alameda,
"136",-122.2,37.83,"26","1589","223","542","211",8.401,351200,NEAR BAY,7.53080568720379,0.140339836375079,2.56872037914692,Alameda,
"137",-122.19,37.83,"29","1791","271","661","269",6.8538,368900,NEAR BAY,6.65799256505576,0.151312116136237,2.45724907063197,Alameda,
"138",-122.19,37.82,"32","1835","264","635","263",8.317,365900,NEAR BAY,6.97718631178707,0.143869209809264,2.41444866920152,Alameda,
"139",-122.2,37.82,"37","1229","181","420","176",7.0175,366700,NEAR BAY,6.98295454545455,0.147274206672091,2.38636363636364,Alameda,
"140",-122.2,37.82,"39","3770","534","1265","500",6.3302,362800,NEAR BAY,7.54,0.141644562334218,2.53,Alameda,
"141",-122.18,37.81,"30","292","38","126","52",6.3624,483300,NEAR BAY,5.61538461538461,0.13013698630137,2.42307692307692,Alameda,
"142",-122.21,37.82,"52","2375","333","813","350",7.0549,331400,NEAR BAY,6.78571428571429,0.140210526315789,2.32285714285714,Alameda,
"143",-122.2,37.81,"45","2964","436","1067","426",6.7851,323500,NEAR BAY,6.95774647887324,0.147098515519568,2.50469483568075,Alameda,
"144",-122.21,37.8,"50","2833","605","1260","552",2.8929,216700,NEAR BAY,5.13224637681159,0.213554535827744,2.28260869565217,Alameda,
"145",-122.21,37.8,"38","2254","535","951","487",3.0812,233100,NEAR BAY,4.62833675564682,0.237355811889973,1.95277207392197,Alameda,
"146",-122.21,37.81,"52","1389","212","510","224",5.2402,296400,NEAR BAY,6.20089285714286,0.152627789776818,2.27678571428571,Alameda,
"147",-122.22,37.81,"52","1971","335","765","308",6.5217,273700,NEAR BAY,6.39935064935065,0.169964485032978,2.48376623376623,Alameda,
"148",-122.22,37.8,"52","2183","465","1129","460",3.2632,227700,NEAR BAY,4.74565217391304,0.213009619789281,2.45434782608696,Alameda,
"149",-122.22,37.8,"52","2286","464","1073","441",3.0298,199600,NEAR BAY,5.18367346938776,0.202974628171479,2.43310657596372,Alameda,
"150",-122.22,37.8,"52","2721","541","1185","515",4.5428,239800,NEAR BAY,5.28349514563107,0.198823961778758,2.30097087378641,Alameda,
"151",-122.22,37.81,"52","2024","339","756","340",4.072,270100,NEAR BAY,5.95294117647059,0.167490118577075,2.22352941176471,Alameda,
"152",-122.22,37.81,"52","2944","536","1034","521",5.3509,302100,NEAR BAY,5.65067178502879,0.182065217391304,1.98464491362764,Alameda,
"153",-122.23,37.8,"52","2033","486","787","459",3.1603,269500,NEAR BAY,4.42919389978213,0.23905558288244,1.71459694989107,Alameda,
"154",-122.23,37.81,"52","1433","229","612","213",4.7708,314700,NEAR BAY,6.72769953051643,0.159804605722261,2.87323943661972,Alameda,
"155",-122.22,37.81,"52","2927","402","1021","380",8.1564,390100,NEAR BAY,7.70263157894737,0.137341988384011,2.68684210526316,Alameda,
"156",-122.23,37.81,"52","2315","292","861","258",8.8793,410300,NEAR BAY,8.97286821705426,0.126133909287257,3.33720930232558,Alameda,
"157",-122.24,37.81,"52","2485","313","953","327",6.8591,352400,NEAR BAY,7.59938837920489,0.125955734406439,2.91437308868502,Alameda,
"158",-122.24,37.81,"52","1490","238","634","256",6.0302,287300,NEAR BAY,5.8203125,0.159731543624161,2.4765625,Alameda,
"159",-122.23,37.81,"52","2814","365","878","352",7.508,348700,NEAR BAY,7.99431818181818,0.129708599857854,2.49431818181818,Alameda,
"160",-122.24,37.81,"52","2093","550","918","483",2.7477,243800,NEAR BAY,4.33333333333333,0.262780697563306,1.90062111801242,Alameda,
"161",-122.24,37.8,"52","888","168","360","175",2.1944,211500,NEAR BAY,5.07428571428571,0.189189189189189,2.05714285714286,Alameda,
"162",-122.25,37.8,"52","2087","510","1197","488",3.0149,218400,NEAR BAY,4.2766393442623,0.24436990896023,2.45286885245902,Alameda,
"163",-122.24,37.81,"52","2513","502","1048","518",3.675,269900,NEAR BAY,4.85135135135135,0.199761241543971,2.02316602316602,Alameda,
"164",-122.25,37.81,"46","3232","835","1373","747",3.225,218800,NEAR BAY,4.32663989290495,0.25835396039604,1.8380187416332,Alameda,
"165",-122.25,37.8,"42","4120","1065","1715","1015",2.9345,225000,NEAR BAY,4.05911330049261,0.258495145631068,1.68965517241379,Alameda,
"166",-122.25,37.8,"43","2364","792","1359","722",2.1429,250000,NEAR BAY,3.27423822714681,0.33502538071066,1.88227146814404,Alameda,
"167",-122.25,37.8,"41","1471","469","1062","413",1.6121,171400,NEAR BAY,3.56174334140436,0.318830727396329,2.57142857142857,Alameda,
"168",-122.25,37.8,"29","2468","864","1335","773",1.3929,193800,NEAR BAY,3.19275549805951,0.350081037277148,1.72703751617076,Alameda,
"169",-122.24,37.79,"27","1632","492","1171","429",2.3173,125000,NEAR BAY,3.8041958041958,0.301470588235294,2.72960372960373,Alameda,
"170",-122.25,37.79,"45","1786","526","1475","460",1.7772,97500,NEAR BAY,3.88260869565217,0.29451287793953,3.20652173913043,Alameda,
"171",-122.25,37.79,"50","629","188","742","196",2.6458,125000,NEAR BAY,3.20918367346939,0.298887122416534,3.78571428571429,Alameda,
"172",-122.25,37.79,"52","1339","391","1086","363",2.181,138800,NEAR BAY,3.68870523415978,0.292008961911875,2.99173553719008,Alameda,
"173",-122.25,37.8,"36","1678","606","1645","543",2.2303,116700,NEAR BAY,3.0902394106814,0.361144219308701,3.02946593001842,Alameda,
"174",-122.25,37.8,"43","2344","647","1710","644",1.6504,151800,NEAR BAY,3.63975155279503,0.276023890784983,2.65527950310559,Alameda,
"175",-122.24,37.8,"52","996","228","731","228",2.2697,127000,NEAR BAY,4.36842105263158,0.228915662650602,3.20614035087719,Alameda,
"176",-122.24,37.8,"52","1591","373","1118","347",2.1563,128600,NEAR BAY,4.5850144092219,0.234443746071653,3.22190201729107,Alameda,
"177",-122.24,37.8,"52","1586","398","1006","335",2.1348,140600,NEAR BAY,4.73432835820896,0.250945775535939,3.00298507462687,Alameda,
"178",-122.24,37.8,"47","2046","588","1213","554",2.6292,182700,NEAR BAY,3.69314079422383,0.287390029325513,2.18953068592058,Alameda,
"179",-122.23,37.8,"52","1192","289","772","257",2.3833,146900,NEAR BAY,4.63813229571984,0.24244966442953,3.00389105058366,Alameda,
"180",-122.24,37.8,"52","1803","420","1321","401",2.957,122800,NEAR BAY,4.49625935162095,0.232945091514143,3.29426433915212,Alameda,
"181",-122.24,37.8,"49","2838","749","1487","677",2.5238,169300,NEAR BAY,4.19202363367799,0.263918252290345,2.19645494830133,Alameda,
"182",-122.23,37.8,"52","783","184","488","186",1.9375,126600,NEAR BAY,4.20967741935484,0.234993614303959,2.62365591397849,Alameda,
"183",-122.23,37.8,"51","1590","414","949","392",1.9028,127900,NEAR BAY,4.05612244897959,0.260377358490566,2.42091836734694,Alameda,
"184",-122.23,37.8,"50","1746","480","1149","415",2.25,123500,NEAR BAY,4.20722891566265,0.274914089347079,2.76867469879518,Alameda,
"185",-122.23,37.8,"52","1252","299","844","280",2.3929,111900,NEAR BAY,4.47142857142857,0.238817891373802,3.01428571428571,Alameda,
"186",-122.23,37.79,"43","5963","1344","4367","1231",2.1917,112800,NEAR BAY,4.84402924451665,0.225389904410532,3.54752233956133,Alameda,
"187",-122.23,37.79,"52","1783","395","1659","412",2.9357,107900,NEAR BAY,4.32766990291262,0.221536735838474,4.02669902912621,Alameda,
"188",-122.23,37.79,"30","999","264","1011","263",1.8854,137500,NEAR BAY,3.79847908745247,0.264264264264264,3.84410646387833,Alameda,
"189",-122.24,37.79,"39","1469","431","1464","389",2.1638,105500,NEAR BAY,3.77634961439589,0.293396868618108,3.76349614395887,Alameda,
"190",-122.24,37.79,"47","1372","395","1237","303",2.125,95500,NEAR BAY,4.52805280528053,0.287900874635569,4.08250825082508,Alameda,
"191",-122.24,37.79,"52","674","180","647","168",3.375,116100,NEAR BAY,4.01190476190476,0.267062314540059,3.85119047619048,Alameda,
"192",-122.24,37.79,"43","1626","376","1284","357",2.2542,112200,NEAR BAY,4.5546218487395,0.231242312423124,3.59663865546218,Alameda,
"193",-122.25,37.79,"51","175","43","228","55",2.1,75000,NEAR BAY,3.18181818181818,0.245714285714286,4.14545454545455,Alameda,
"194",-122.25,37.79,"39","461","129","381","123",1.6,112500,NEAR BAY,3.7479674796748,0.279826464208243,3.09756097560976,Alameda,
"195",-122.25,37.79,"52","902","237","846","227",3.625,125000,NEAR BAY,3.97356828193833,0.262749445676275,3.72687224669604,Alameda,
"196",-122.26,37.8,"20","2373","779","1659","676",1.6929,115000,NEAR BAY,3.5103550295858,0.328276443320691,2.45414201183432,Alameda,
"197",-122.22,37.77,"52","391","128","520","138",1.6471,95000,NEAR BAY,2.83333333333333,0.327365728900256,3.76811594202899,Alameda,
"198",-122.22,37.77,"52","1137","301","866","259",2.59,96400,NEAR BAY,4.38996138996139,0.264731750219877,3.34362934362934,Alameda,
"199",-122.23,37.77,"52","769","206","612","183",2.57,72000,NEAR BAY,4.20218579234973,0.267880364109233,3.34426229508197,Alameda,
"200",-122.23,37.78,"52","472","146","415","126",2.6429,71300,NEAR BAY,3.74603174603175,0.309322033898305,3.29365079365079,Alameda,
"201",-122.23,37.78,"52","862","215","994","213",3.0257,80800,NEAR BAY,4.04694835680751,0.249419953596288,4.66666666666667,Alameda,
"202",-122.22,37.78,"50","1920","530","1525","477",1.4886,128800,NEAR BAY,4.0251572327044,0.276041666666667,3.19706498951782,Alameda,
"203",-122.23,37.78,"43","1420","472","1506","438",1.9338,112500,NEAR BAY,3.24200913242009,0.332394366197183,3.43835616438356,Alameda,
"204",-122.23,37.78,"52","986","258","1008","255",1.4844,119400,NEAR BAY,3.86666666666667,0.261663286004057,3.95294117647059,Alameda,
"205",-122.23,37.78,"44","2340","825","2813","751",1.6009,118100,NEAR BAY,3.11584553928096,0.352564102564103,3.745672436751,Alameda,
"206",-122.23,37.79,"48","1696","396","1481","343",2.0375,122500,NEAR BAY,4.94460641399417,0.233490566037736,4.31778425655977,Alameda,
"207",-122.23,37.79,"49","1175","217","859","219",2.293,106300,NEAR BAY,5.36529680365297,0.18468085106383,3.92237442922374,Alameda,
"208",-122.22,37.79,"37","2343","574","1608","523",2.1494,132500,NEAR BAY,4.47992351816444,0.24498506188647,3.07456978967495,Alameda,
"209",-122.23,37.79,"30","610","145","425","140",1.6198,122700,NEAR BAY,4.35714285714286,0.237704918032787,3.03571428571429,Alameda,
"210",-122.23,37.79,"40","930","199","564","184",1.3281,113300,NEAR BAY,5.05434782608696,0.213978494623656,3.06521739130435,Alameda,
"211",-122.22,37.79,"44","1487","314","961","272",3.5156,109500,NEAR BAY,5.46691176470588,0.211163416274378,3.53308823529412,Alameda,
"212",-122.22,37.79,"52","3424","690","2273","685",3.9048,164700,NEAR BAY,4.9985401459854,0.201518691588785,3.31824817518248,Alameda,
"213",-122.21,37.79,"52","762","190","600","195",3.0893,125000,NEAR BAY,3.90769230769231,0.249343832020997,3.07692307692308,Alameda,
"214",-122.22,37.79,"46","2366","575","1647","527",2.6042,124700,NEAR BAY,4.48956356736243,0.243026204564666,3.12523719165085,Alameda,
"215",-122.22,37.79,"49","1826","450","1201","424",2.5,136700,NEAR BAY,4.30660377358491,0.246440306681271,2.83254716981132,Alameda,
"216",-122.22,37.79,"38","3049","711","2167","659",2.7969,141700,NEAR BAY,4.62670713201821,0.233191210232863,3.28831562974203,Alameda,
"217",-122.2,37.79,"29","1640","376","939","340",2.8321,150000,NEAR BAY,4.82352941176471,0.229268292682927,2.76176470588235,Alameda,
"218",-122.21,37.79,"47","1543","307","859","292",2.9583,138800,NEAR BAY,5.28424657534247,0.198963058976021,2.94178082191781,Alameda,
"219",-122.21,37.79,"34","2364","557","1517","516",2.8365,139200,NEAR BAY,4.58139534883721,0.235617597292724,2.93992248062015,Alameda,
"220",-122.21,37.79,"35","1745","409","1143","386",2.875,143800,NEAR BAY,4.52072538860104,0.234383954154728,2.96113989637306,Alameda,
"221",-122.21,37.8,"39","2003","500","1109","464",3.0682,156500,NEAR BAY,4.31681034482759,0.249625561657514,2.39008620689655,Alameda,
"222",-122.21,37.8,"39","2018","447","1221","446",3.0757,151000,NEAR BAY,4.52466367713004,0.221506442021804,2.73766816143498,Alameda,
"223",-122.2,37.8,"43","3045","499","1115","455",4.9559,273000,NEAR BAY,6.69230769230769,0.163875205254516,2.45054945054945,Alameda,
"224",-122.2,37.8,"52","1547","293","706","268",4.7721,217100,NEAR BAY,5.77238805970149,0.18939883645766,2.63432835820896,Alameda,
"225",-122.21,37.8,"52","3519","711","1883","706",3.4861,187100,NEAR BAY,4.98441926345609,0.202046035805627,2.6671388101983,Alameda,
"226",-122.2,37.8,"41","2070","354","804","340",5.1184,239600,NEAR BAY,6.08823529411765,0.171014492753623,2.36470588235294,Alameda,
"227",-122.21,37.8,"48","1321","263","506","252",4.0977,229700,NEAR BAY,5.24206349206349,0.199091597274792,2.00793650793651,Alameda,
"228",-122.19,37.8,"48","1694","259","610","238",4.744,257300,NEAR BAY,7.11764705882353,0.152892561983471,2.56302521008403,Alameda,
"229",-122.19,37.8,"46","1938","341","768","332",4.2727,246900,NEAR BAY,5.83734939759036,0.175954592363261,2.31325301204819,Alameda,
"230",-122.19,37.79,"50","968","195","462","184",2.9844,179900,NEAR BAY,5.26086956521739,0.201446280991736,2.51086956521739,Alameda,
"231",-122.2,37.79,"40","1060","256","667","235",4.1739,169600,NEAR BAY,4.51063829787234,0.241509433962264,2.83829787234043,Alameda,
"232",-122.2,37.8,"46","2041","405","1059","399",3.8487,203300,NEAR BAY,5.11528822055138,0.1984321411073,2.65413533834586,Alameda,
"233",-122.19,37.8,"52","1813","271","637","277",4.0114,263400,NEAR BAY,6.54512635379061,0.149476006618864,2.29963898916967,Alameda,
"234",-122.19,37.79,"45","2718","451","1106","454",4.6563,231800,NEAR BAY,5.98678414096916,0.165930831493745,2.43612334801762,Alameda,
"235",-122.19,37.79,"28","3144","761","1737","669",2.9297,140500,NEAR BAY,4.69955156950673,0.24204834605598,2.59641255605381,Alameda,
"236",-122.2,37.79,"35","1802","459","1009","390",2.3036,126000,NEAR BAY,4.62051282051282,0.254716981132075,2.58717948717949,Alameda,
"237",-122.2,37.79,"49","882","195","737","210",2.6667,122000,NEAR BAY,4.2,0.22108843537415,3.50952380952381,Alameda,
"238",-122.2,37.79,"44","1621","452","1354","491",2.619,134700,NEAR BAY,3.30142566191446,0.278840222085133,2.75763747454175,Alameda,
"239",-122.21,37.79,"45","2115","533","1530","474",2.4167,139400,NEAR BAY,4.4620253164557,0.252009456264775,3.22784810126582,Alameda,
"240",-122.2,37.79,"45","2021","528","1410","480",2.7788,115400,NEAR BAY,4.21041666666667,0.261256803562593,2.9375,Alameda,
"241",-122.21,37.78,"46","2239","508","1390","569",2.7352,137300,NEAR BAY,3.93497363796134,0.226887003126396,2.44288224956063,Alameda,
"242",-122.21,37.78,"52","1477","300","1065","269",1.8472,137000,NEAR BAY,5.4907063197026,0.2031144211239,3.95910780669145,Alameda,
"243",-122.21,37.78,"52","1056","224","792","245",2.6583,142600,NEAR BAY,4.31020408163265,0.212121212121212,3.23265306122449,Alameda,
